"","pre_name","post_name","top_np","side.post","flow","super_class","cell_class","type.post","top_nt","ito_lee_hemilineage","type.pre","side.pre","weight"
"1","CRE011_L","MBON31_L","SMP_R","L","intrinsic","central","MBON","MBON31","gaba","putative_primary","CRE011","L",7
"2","CRE011_L","MBON32_L","SMP_R","L","intrinsic","central","MBON","MBON32","gaba","putative_primary","CRE011","L",10
"3","LAL051_L","MBON26_L","LAL_R","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","LAL051","L",151
"4","LAL051_L","MBON26_R","LAL_R","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","LAL051","L",6
"5","LAL051_L","MBON27_R","LAL_R","R","intrinsic","central","MBON","MBON27","acetylcholine","putative_primary","LAL051","L",7
"6","LAL112_L","MBON26_R","LAL_R","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","LAL112","L",8
"7","LAL112_L","MBON31_L","LAL_R","L","intrinsic","central","MBON","MBON31","gaba","putative_primary","LAL112","L",24.5
"8","LAL112_L","MBON31_R","LAL_R","R","intrinsic","central","MBON","MBON31","gaba","putative_primary","LAL112","L",11
"9","LAL112_L","MBON32_R","LAL_R","R","intrinsic","central","MBON","MBON32","gaba","putative_primary","LAL112","L",22.5
"10","LAL171,LAL172_L","MBON26_R","LAL_L","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","LAL171,LAL172","L",14
"11","LAL171,LAL172_L","MBON31_L","LAL_L","L","intrinsic","central","MBON","MBON31","gaba","putative_primary","LAL171,LAL172","L",52.5
"12","LAL171,LAL172_L","MBON31_R","LAL_L","R","intrinsic","central","MBON","MBON31","gaba","putative_primary","LAL171,LAL172","L",105
"13","LAL171,LAL172_L","MBON32_L","LAL_L","L","intrinsic","central","MBON","MBON32","gaba","putative_primary","LAL171,LAL172","L",143
"14","LHPV5e3_L","MBON26_L","LAL_R","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","LHPV5e3","L",9
"15","LHPV5e3_L","MBON26_R","LAL_L","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","LHPV5e3","L",9
"16","MBON26_L","MBON26_R","LAL_R","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON26","L",104
"17","MBON27_L","MBON26_L","CRE_R","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON27","L",10
"18","MBON27_L","MBON26_R","LAL_L","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON27","L",67
"19","MBON27_L","MBON31_L","LAL_L","L","intrinsic","central","MBON","MBON31","gaba","putative_primary","MBON27","L",8
"20","MBON27_L","MBON31_R","LAL_L","R","intrinsic","central","MBON","MBON31","gaba","putative_primary","MBON27","L",13
"21","MBON31_L","MBON26_L","LAL_R","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON31","L",102
"22","MBON31_L","MBON26_R","LAL_R","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON31","L",70
"23","MBON31_L","MBON32_L","MB_VL_R","L","intrinsic","central","MBON","MBON32","gaba","putative_primary","MBON31","L",8
"24","MBON32_L","MBON26_L","LAL_L","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON32","L",109
"25","MBON32_L","MBON26_R","LAL_L","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON32","L",162
"26","MBON32_L","MBON27_L","LAL_L","L","intrinsic","central","MBON","MBON27","acetylcholine","putative_primary","MBON32","L",69
"27","MBON32_L","MBON31_L","LAL_L","L","intrinsic","central","MBON","MBON31","gaba","putative_primary","MBON32","L",6
"28","MBON32_L","MBON31_R","LAL_L","R","intrinsic","central","MBON","MBON31","gaba","putative_primary","MBON32","L",8
"29","CRE011_R","MBON31_L","LAL_R","L","intrinsic","central","MBON","MBON31","gaba","putative_primary","CRE011","R",10
"30","CRE011_R","MBON31_R","CRE_L","R","intrinsic","central","MBON","MBON31","gaba","putative_primary","CRE011","R",30
"31","LAL051_R","MBON26_L","AL_L","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","LAL051","R",9
"32","LAL051_R","MBON26_R","LAL_L","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","LAL051","R",104
"33","LAL051_R","MBON27_L","LAL_L","L","intrinsic","central","MBON","MBON27","acetylcholine","putative_primary","LAL051","R",13
"34","LAL112_R","MBON31_L","LAL_L","L","intrinsic","central","MBON","MBON31","gaba","putative_primary","LAL112","R",18.5
"35","LAL112_R","MBON31_R","LAL_L","R","intrinsic","central","MBON","MBON31","gaba","putative_primary","LAL112","R",32.5
"36","LAL112_R","MBON32_L","LAL_L","L","intrinsic","central","MBON","MBON32","gaba","putative_primary","LAL112","R",55
"37","LAL171,LAL172_R","MBON26_L","LAL_R","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","LAL171,LAL172","R",16.5
"38","LAL171,LAL172_R","MBON31_L","LAL_R","L","intrinsic","central","MBON","MBON31","gaba","putative_primary","LAL171,LAL172","R",81.5
"39","LAL171,LAL172_R","MBON31_R","LAL_R","R","intrinsic","central","MBON","MBON31","gaba","putative_primary","LAL171,LAL172","R",52
"40","LAL171,LAL172_R","MBON32_R","LAL_R","R","intrinsic","central","MBON","MBON32","gaba","putative_primary","LAL171,LAL172","R",78.5
"41","LHPV5e3_R","MBON26_L","LAL_R","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","LHPV5e3","R",6
"42","LHPV5e3_R","MBON26_R","LAL_L","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","LHPV5e3","R",7
"43","MBON26_R","MBON26_L","LAL_R","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON26","R",117
"44","MBON26_R","MBON27_R","CRE_L","R","intrinsic","central","MBON","MBON27","acetylcholine","putative_primary","MBON26","R",6
"45","MBON26_R","MBON31_R","AL_L","R","intrinsic","central","MBON","MBON31","gaba","putative_primary","MBON26","R",7
"46","MBON27_R","MBON26_L","LAL_R","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON27","R",80
"47","MBON27_R","MBON26_R","CRE_L","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON27","R",9
"48","MBON27_R","MBON27_L","LAL_R","L","intrinsic","central","MBON","MBON27","acetylcholine","putative_primary","MBON27","R",8
"49","MBON27_R","MBON31_L","LAL_R","L","intrinsic","central","MBON","MBON31","gaba","putative_primary","MBON27","R",8
"50","MBON31_R","MBON26_L","LAL_R","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON31","R",164
"51","MBON31_R","MBON26_R","LAL_L","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON31","R",141
"52","MBON31_R","MBON32_R","MB_VL_L","R","intrinsic","central","MBON","MBON32","gaba","putative_primary","MBON31","R",7
"53","MBON32_R","MBON26_L","LAL_R","L","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON32","R",94
"54","MBON32_R","MBON26_R","LAL_R","R","intrinsic","central","MBON","MBON26","acetylcholine","putative_primary","MBON32","R",59
"55","MBON32_R","MBON27_R","SMP_L","R","intrinsic","central","MBON","MBON27","acetylcholine","putative_primary","MBON32","R",15
"56","MBON32_R","MBON31_R","MB_VL_L","R","intrinsic","central","MBON","MBON31","gaba","putative_primary","MBON32","R",8
